date,time,open,high,low,close,something
2016.07.12,19:55,1.10627,1.10636,1.10615,1.1062,279
2016.07.12,20:00,1.10621,1.10631,1.10615,1.10624,166
2016.07.12,20:05,1.10624,1.10625,1.10608,1.10619,176
2016.07.12,20:10,1.10619,1.10626,1.10616,1.10624,103
2016.07.12,20:15,1.10625,1.10643,1.10624,1.10629,103
2016.07.12,20:20,1.1063,1.1063,1.10614,1.10616,86
2016.07.12,20:25,1.10614,1.10619,1.10606,1.10616,102
2016.07.12,20:30,1.10617,1.10625,1.10608,1.10625,109
2016.07.12,20:35,1.10624,1.10635,1.10613,1.10632,145
2016.07.12,20:40,1.10631,1.10634,1.10627,1.10629,110
2016.07.12,20:45,1.10628,1.10633,1.10623,1.10624,162
2016.07.12,20:50,1.10623,1.10627,1.10608,1.10624,175
2016.07.12,20:55,1.10623,1.10625,1.10592,1.10601,469
2016.07.12,21:00,1.10601,1.10623,1.10593,1.1061,65
2016.07.12,21:05,1.10611,1.10631,1.10608,1.10631,32
2016.07.12,21:10,1.10628,1.10631,1.10625,1.10627,17
2016.07.12,21:15,1.10625,1.10629,1.10624,1.10626,18
2016.07.12,21:20,1.10625,1.1063,1.10618,1.10626,38
2016.07.12,21:25,1.10625,1.10648,1.10611,1.10644,80
2016.07.12,21:30,1.10643,1.10643,1.10608,1.10613,88
2016.07.12,21:35,1.10617,1.10622,1.10612,1.10618,38
2016.07.12,21:40,1.10614,1.10626,1.10603,1.10612,41
2016.07.12,21:45,1.10615,1.10615,1.10609,1.10609,15
2016.07.12,21:50,1.10608,1.10626,1.10606,1.10622,40
2016.07.12,21:55,1.10624,1.10652,1.10604,1.10638,244
2016.07.12,22:00,1.1064,1.10649,1.10616,1.10632,704
2016.07.12,22:05,1.10627,1.10648,1.10619,1.10645,533
2016.07.12,22:10,1.10646,1.10647,1.10623,1.10632,159
2016.07.12,22:15,1.10632,1.10636,1.10622,1.10626,166
2016.07.12,22:20,1.10627,1.10634,1.10622,1.10634,105
2016.07.12,22:25,1.10633,1.10636,1.10624,1.10628,139
2016.07.12,22:30,1.10629,1.10631,1.10622,1.10623,80
2016.07.12,22:35,1.10624,1.10626,1.10622,1.10625,94
2016.07.12,22:40,1.10626,1.1063,1.1062,1.10621,126
2016.07.12,22:45,1.10621,1.10623,1.1062,1.10622,197
2016.07.12,22:50,1.10622,1.10632,1.10619,1.10625,117
2016.07.12,22:55,1.10624,1.10636,1.10622,1.1063,253
